Country Name,Year,HDI,Region,Total PLWH,Total PNIWH,Adults LWH,Adults NIWH,Children LWH,Children NIWH,Deaths by AIDS,Orphaned by AIDS,ART PLWH,ART PMTCT/LW,Infant deaths,Ages 1-4 deaths,Ages 5-9 deaths,Ages 10-14 deaths,Ages 15-19 deaths,Ages 20-24 deaths,Undernourished,"Population, female","Population, male",Total Population,Population growth (annual %),"Prevalence of HIV, female (% ages 15-24)","Prevalence of HIV, male (% ages 15-24)","Prevalence of HIV, total (% of population ages 15-49)"
Angola,2010,High,Central,250000,30000,220000,21000,33000,8000,15000,120000,9,14,79094,122204,12233,5735,8928,10664,5600000,50.55165755,49.44834245,23356247,3.671493333,1.3,0.4,1.9
Angola,2011,High,Central,260000,29000,230000,19000,35000,8400,16000,130000,10,10,76429,117349,11868,5633,8770,10558,4000000,50.55946452,49.44053548,24220660,3.634150215,1.3,0.4,1.9
Angola,2012,High,Central,270000,29000,240000,20000,36000,8400,16000,150000,12,12,73672,112401,11514,5541,8619,10440,3800000,50.55922781,49.44077219,25107925,3.597754539,1.3,0.4,1.9
Angola,2013,High,Central,280000,28000,240000,19000,38000,8100,17000,160000,17,21,71175,107928,11214,5476,8503,10343,3700000,50.55386372,49.44613628,26015786,3.551997427,1.2,0.4,1.9
Angola,2014,High,Central,290000,25000,250000,17000,38000,7400,15000,180000,22,32,69010,104029,10961,5437,8433,10276,3700000,50.54710022,49.45289978,26941773,3.497447411,1.2,0.4,1.9
Angola,2015,High,Central,300000,24000,260000,15000,39000,7400,15000,190000,24,31,67198,100744,10743,5426,8413,10247,4100000,50.54132816,49.45867184,27884380,3.438869368,1.1,0.3,1.9
Angola,2016,High,Central,300000,23000,260000,15000,40000,7600,15000,210000,23,28,65848,98196,10606,5446,8439,10259,4400000,50.53700649,49.46299351,28842482,3.378269432,1.1,0.3,1.8
Angola,2017,High,Central,310000,23000,270000,15000,40000,7500,16000,220000,25,26,64778,96078,10487,5488,8501,10300,4600000,50.53347665,49.46652335,29816769,3.322158363,1,0.3,1.8
Angola,2018,High,Central,310000,22000,270000,14000,40000,6700,17000,240000,28,37,63772,94007,10339,5529,8577,10349,4800000,50.53046293,49.46953707,30809787,3.276144588,0.9,0.3,1.7
Angola,2019,High,Central,310000,20000,270000,14000,39000,5300,16000,260000,30,58,62880,92107,10177,5565,8670,10420,5700000,50.52747501,49.47252499,31825299,3.242914028,0.9,0.3,1.7
Angola,2020,High,Central,310000,19000,280000,13000,38000,4600,16000,270000,35,66,62212,90589,10032,5602,8794,10534,6800000,50.52413618,49.47586382,32866268,3.218530352,0.9,0.3,1.6
Angola,2021,High,Central,320000,17000,280000,13000,36000,3800,15000,290000,41,75,..,..,..,..,..,..,..,50.52062099,49.47937901,33933611,3.195915508,0.8,0.3,1.6
Botswana,2010,High,Southern ,320000,13000,310000,11000,18000,1300,6500,140000,49,77,2152,2781,268,166,271,505,400000,51.09148682,48.90851318,1987106,1.70592329,8.8,4.4,23.2
Botswana,2011,High,Southern ,330000,13000,310000,11000,17000,1400,6000,130000,54,71,2266,2846,262,163,260,463,400000,51.20442233,48.79557767,2015406,1.414135504,8.6,4.4,23
Botswana,2012,High,Southern ,340000,12000,320000,11000,16000,800,5400,120000,61,89,2231,2812,256,161,249,424,400000,51.38027929,48.61972071,2039551,1.190902166,8.4,4.3,22.7
Botswana,2013,High,Southern ,340000,11000,330000,9800,15000,630,5400,120000,66,90,2204,2764,250,160,238,387,400000,51.57962155,48.42037845,2062551,1.12138806,8.3,4.3,22.4
Botswana,2014,High,Southern ,350000,11000,330000,9500,13000,800,5300,110000,67,83,2252,2811,245,160,229,353,400000,51.74701561,48.25298439,2088619,1.255951583,8.2,4.3,22
Botswana,2015,High,Southern ,350000,11000,340000,9700,12000,700,5000,100000,73,85,2225,2789,241,159,223,322,400000,51.8456974,48.1543026,2120716,1.525068549,8.2,4.3,21.7
Botswana,2016,High,Southern ,350000,10000,340000,9400,11000,700,5200,98000,77,85,2210,2762,236,159,219,296,400000,51.86342118,48.13657882,2159925,1.831973136,8.2,4.3,21.3
Botswana,2017,High,Southern ,360000,9500,350000,8800,10000,500,5000,92000,80,97,2141,2683,232,158,215,276,500000,51.81712558,48.18287442,2205076,2.068847655,8.1,4.3,20.9
Botswana,2018,High,Southern ,360000,8900,350000,8400,8900,500,5000,88000,85,100,2101,2630,229,158,213,263,500000,51.73076044,48.26923956,2254067,2.197416468,7.9,4.2,20.4
Botswana,2019,High,Southern ,360000,8200,350000,7700,7900,500,5100,85000,87,100,2048,2559,225,157,211,256,500000,51.63803667,48.36196333,2303703,2.178168817,7.6,4,19.8
Botswana,2020,High,Southern ,360000,7700,360000,7300,7200,500,4800,81000,89,100,1994,2486,220,156,208,254,500000,51.56119704,48.43880296,2351625,2.058875027,7.1,3.8,19.2
Botswana,2021,High,Southern ,360000,7200,360000,6700,6600,500,4600,76000,92,98,..,..,..,..,..,..,..,51.50381272,48.49618728,2397240,1.921149705,6.6,3.5,18.6
Cameroon,2010,Average,Central,520000,36000,460000,26000,56000,8300,27000,310000,17,41,54006,85217,10076,5139,5842,7718,1400000,50.08271867,49.91728133,20341236,2.747733751,2.5,0.8,4.3
Cameroon,2011,Average,Central,520000,34000,470000,24000,55000,7700,27000,330000,20,46,53331,83456,10169,5230,5903,7819,1200000,50.07106917,49.92893083,20906392,2.74047938,2.4,0.8,4.2
Cameroon,2012,Average,Central,520000,31000,470000,23000,53000,6700,26000,350000,23,55,52259,81318,10272,5339,5983,7917,1100000,50.06160733,49.93839267,21485267,2.731249489,2.3,0.7,4.1
Cameroon,2013,Average,Central,520000,27000,470000,21000,51000,5100,25000,370000,25,73,50881,78857,10344,5451,6100,8009,1100000,50.05332627,49.94667373,22077300,2.71824869,2.1,0.7,4
Cameroon,2014,Average,Central,520000,26000,470000,20000,48000,5100,25000,380000,28,72,49835,76442,10408,5569,6231,8100,1200000,50.04495444,49.95504556,22681853,2.701524614,2,0.7,3.8
Cameroon,2015,Average,Central,510000,25000,470000,19000,45000,4000,25000,400000,33,89,48381,73824,10434,5685,6383,8216,1300000,50.03565914,49.96434086,23298376,2.681848111,1.9,0.7,3.7
Cameroon,2016,Average,Central,510000,24000,470000,18000,43000,4800,24000,410000,40,79,47442,71605,10485,5793,6548,8303,1400000,50.02533378,49.97466622,23926549,2.660502066,1.8,0.7,3.6
Cameroon,2017,Average,Central,510000,21000,470000,16000,41000,4400,22000,420000,50,81,46265,69479,10516,5900,6704,8382,1600000,50.01440198,49.98559802,24566070,2.637754334,1.7,0.7,3.4
Cameroon,2018,Average,Central,500000,19000,460000,13000,39000,4400,18000,420000,56,78,45193,67457,10501,5988,6848,8485,1700000,50.00348783,49.99651217,25216261,2.612284161,1.6,0.6,3.3
Cameroon,2019,Average,Central,500000,18000,460000,12000,37000,5100,16000,420000,62,62,44484,65954,10424,6060,6943,8586,1700000,49.99329698,50.00670302,25876387,2.584178982,1.5,0.6,3.1
Cameroon,2020,Average,Central,500000,16000,460000,11000,35000,4800,14000,400000,70,63,43599,64564,10285,6110,6996,8712,1800000,49.98439305,50.01560695,26545864,2.554309999,1.4,0.6,3
Cameroon,2021,Average,Central,500000,15000,460000,9600,33000,4300,13000,390000,78,67,..,..,..,..,..,..,..,49.97684418,50.02315582,27224262,2.523460701,1.3,0.6,2.9
Chad,2010,Low,Central,110000,7300,90000,4500,17000,2500,4400,92000,30,19,45859,78909,7372,3944,5017,4383,3800000,50.1185897,49.8814103,11952134,3.334669293,0.9,0.5,1.6
